Permanent Tournament #,Event Name,Course Name,Player Name,Avg Drive Distance,Fairway Hit Percentage
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Aaron Baddeley,269.64,53.57
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Adam Hadwin,284.84,85.71
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Alex Noren,269.09,67.86
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Anirban Lahiri,284.07,57.14
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Ben Martin,277.91,67.86
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Billy Horschel,280.57,73.21
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Billy Hurley III,269.57,78.57
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Blayne Barber,281,75
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Boo Weekley,280.88,76.79
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Branden Grace,273.79,60.71
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Brandon Hagy,290.88,51.79
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Brandt Snedeker,278.02,73.21
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Brian Harman,281.77,76.79
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Brian Stuard,266,71.43
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Brooks Koepka,285.71,60.71
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Bubba Watson,287.02,69.64
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Bud Cauley,272.36,64.29
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Byeong Hun An,285.18,58.93
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,C.T. Pan,272.07,62.5
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Cameron Smith,278.54,51.79
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Camilo Villegas,271.57,57.14
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Chad Campbell,267.64,64.29
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Charl Schwartzel,286.07,53.57
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Charles Howell III,283.63,46.43
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Charley Hoffman,286.23,66.07
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Chez Reavie,267.29,78.57
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Chris Kirk,268.57,60.71
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Cody Gribble,286.25,67.86
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Curtis Luck,277.36,64.29
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Daniel Summerhays,274.68,71.43
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Danny Lee,279.54,83.93
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,David Hearn,267.5,71.43
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,David Hronek,274.89,67.86
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,David Lingmerth,276.91,58.93
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Derek Fathauer,276.55,60.71
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Emiliano Grillo,277.27,75
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Ernie Els,271.86,60.71
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Fabián Gómez,274.13,62.5
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Francesco Molinari,277.39,71.43
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Geoff Ogilvy,266.5,71.43
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Graeme McDowell,268.25,76.79
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Graham DeLaet,278.96,64.29
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Grayson Murray,291,57.14
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Greg Chalmers,265.16,58.93
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Greg Owen,283.29,57.14
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Harold Varner III,280.21,67.86
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Harris English,274.25,53.57
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Henrik Stenson,277.68,67.86
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Hideki Matsuyama,285.21,67.86
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Hudson Swafford,281.7,67.86
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Ian Poulter,271.23,67.86
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,J.J. Spaun,281.27,73.21
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,James Hahn,275.07,73.21
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Jamie Lovemark,288.04,62.5
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Jason Day,287.86,50
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Jason Kokrak,288.84,62.5
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Jeunghun Wang,280.25,64.29
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Jim Herman,277.29,75
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,John Daly,273.57,53.57
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,John Huh,272.82,64.29
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Justin Rose,282.61,60.71
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Keegan Bradley,277.43,82.14
