From Location(Scorer),X Coordinate,Y Coordinate
Fairway,10834.91500000000000000000,9973.89400000000000000000
Fairway,10843.52300000000000000000,9978.01400000000000000000
Fairway,10820.53200000000000000000,9977.04700000000000000000
Fairway,10833.89900000000000000000,9986.00100000000000000000
Fairway,10839.21300000000000000000,9948.52800000000000000000
Fairway,10857.22000000000000000000,9973.00500000000000000000
Fairway,10834.74900000000000000000,9986.79300000000000000000
Fairway,10837.26600000000000000000,9997.18900000000000000000
Fairway,10829.76600000000000000000,9991.18600000000000000000
Fairway,10837.68700000000000000000,9939.75800000000000000000
Fairway,10848.81500000000000000000,9993.09300000000000000000
Fairway,10849.23000000000000000000,9981.80300000000000000000
Fairway,10827.58300000000000000000,9977.12000000000000000000
Fairway,10847.62100000000000000000,9972.63200000000000000000
Fairway,10863.12700000000000000000,9915.31000000000000000000
Fairway,10805.05700000000000000000,9908.01300000000000000000
Fairway,10872.35000000000000000000,9945.07600000000000000000
Fairway,10872.51700000000000000000,9911.66700000000000000000
Fairway,10864.62100000000000000000,9946.33700000000000000000
Fairway,10854.87800000000000000000,9945.38600000000000000000
Fairway,10820.31300000000000000000,9967.65500000000000000000
Fairway,10872.50000000000000000000,9934.29800000000000000000
Fairway,10879.06200000000000000000,9956.23700000000000000000
Fairway,10872.54300000000000000000,10004.85000000000000000000
Fairway,10840.78300000000000000000,10002.09300000000000000000
Fairway,10821.93500000000000000000,9951.39700000000000000000
Fairway,10841.57300000000000000000,9965.02700000000000000000
Fairway,10828.49400000000000000000,9971.55100000000000000000
Fairway,10841.51600000000000000000,9973.09200000000000000000
Fairway,10836.32800000000000000000,9986.14500000000000000000
Fairway,10822.86100000000000000000,9939.27000000000000000000
Fairway,10837.23100000000000000000,9971.28900000000000000000
Fairway,10823.24200000000000000000,9985.81500000000000000000
Fairway,10835.68200000000000000000,9959.29200000000000000000
Fairway,10788.36700000000000000000,9922.27200000000000000000
Fairway,10830.27400000000000000000,9963.91900000000000000000
Fairway,10805.62200000000000000000,9928.80500000000000000000
Fairway,10836.68100000000000000000,9966.02000000000000000000
Fairway,10851.14300000000000000000,9982.72900000000000000000
Fairway,10830.77400000000000000000,9968.55400000000000000000
Fairway,10850.34200000000000000000,9974.87200000000000000000
Fairway,10844.44800000000000000000,9971.94300000000000000000
Fairway,10837.14100000000000000000,9960.69100000000000000000
Fairway,10832.59000000000000000000,9938.22800000000000000000
Fairway,10843.33100000000000000000,9963.22600000000000000000
Fairway,10852.24300000000000000000,9981.03500000000000000000
Fairway,10853.67700000000000000000,9962.53300000000000000000
Fairway,10842.83200000000000000000,9971.98900000000000000000
Fairway,10845.23100000000000000000,9982.19000000000000000000
Fairway,10841.65800000000000000000,9970.12300000000000000000
Fairway,10878.25900000000000000000,9946.79400000000000000000
Fairway,10872.91100000000000000000,9951.81100000000000000000
Fairway,10859.08900000000000000000,9945.96800000000000000000
Fairway,10842.88800000000000000000,9976.29700000000000000000
Fairway,10877.35400000000000000000,9956.65200000000000000000
Fairway,10863.70000000000000000000,9939.89100000000000000000
Fairway,10869.73000000000000000000,9947.24000000000000000000
Fairway,10870.04500000000000000000,9942.84500000000000000000
Fairway,10831.19800000000000000000,9969.70200000000000000000
Fairway,10869.34800000000000000000,9937.25900000000000000000
Fairway,10851.95600000000000000000,9960.94500000000000000000
Fairway,10840.59900000000000000000,9973.98400000000000000000
Fairway,10857.76500000000000000000,9995.20300000000000000000
Fairway,10824.29200000000000000000,9958.64100000000000000000
Fairway,10836.93400000000000000000,9967.51100000000000000000
