To Location(Scorer),X Coordinate,Y Coordinate
Fairway,10911.25700000000000000000,8733.24300000000000000000
Fringe,10974.17000000000000000000,8709.66700000000000000000
Fringe,10928.04300000000000000000,8702.39800000000000000000
Fringe,10930.11700000000000000000,8764.20300000000000000000
Fringe,10943.68000000000000000000,8771.66000000000000000000
Fringe,10973.11800000000000000000,8699.82100000000000000000
Fringe,10928.00000000000000000000,8700.94000000000000000000
Fringe,10929.92800000000000000000,8699.38000000000000000000
Fringe,10960.78300000000000000000,8693.08200000000000000000
Fringe,10926.59700000000000000000,8702.29300000000000000000
Fringe,10973.56800000000000000000,8705.28500000000000000000
Fringe,10946.63800000000000000000,8773.83400000000000000000
Fringe,10983.44200000000000000000,8765.69500000000000000000
Fringe,10932.94100000000000000000,8767.58100000000000000000
Fringe,10953.74000000000000000000,8775.87500000000000000000
Green,10937.22600000000000000000,8753.83900000000000000000
Green,10936.51000000000000000000,8702.78300000000000000000
Green,10938.65200000000000000000,8757.28300000000000000000
Green,10958.18300000000000000000,8731.86400000000000000000
Green,10938.09800000000000000000,8754.71000000000000000000
Green,10939.95300000000000000000,8754.10800000000000000000
Green,10929.92000000000000000000,8729.94700000000000000000
Green,10941.11200000000000000000,8709.76700000000000000000
Green,10940.36300000000000000000,8756.74200000000000000000
Green,10951.24700000000000000000,8737.80600000000000000000
Green,10939.12500000000000000000,8754.26200000000000000000
Green,10944.18400000000000000000,8705.65800000000000000000
Green,10938.07400000000000000000,8746.13500000000000000000
Green,10939.20500000000000000000,8756.33200000000000000000
Green,10935.47600000000000000000,8733.60400000000000000000
Green,10939.23700000000000000000,8760.27100000000000000000
Green,10932.03300000000000000000,8755.60000000000000000000
Green,10937.86400000000000000000,8730.20700000000000000000
Green,10939.03200000000000000000,8758.23100000000000000000
Green,10938.54500000000000000000,8756.61500000000000000000
Green,10935.96100000000000000000,8726.83100000000000000000
Green,10938.01400000000000000000,8755.80500000000000000000
Green,10931.76000000000000000000,8762.06400000000000000000
Green,10955.56100000000000000000,8743.42400000000000000000
Green,10936.99800000000000000000,8756.08500000000000000000
Green,10943.92100000000000000000,8738.41300000000000000000
Green,10938.29500000000000000000,8755.50200000000000000000
Green,10928.87500000000000000000,8762.53700000000000000000
Green,10939.86700000000000000000,8755.13900000000000000000
Green,10946.71500000000000000000,8711.35400000000000000000
Green,10938.89100000000000000000,8753.10400000000000000000
Green,10978.27000000000000000000,8744.51700000000000000000
Green,10938.86100000000000000000,8757.71900000000000000000
Green,10958.07600000000000000000,8730.78000000000000000000
Green,10937.20200000000000000000,8756.41400000000000000000
Green,10941.20300000000000000000,8758.94500000000000000000
Green,10938.21000000000000000000,8753.58100000000000000000
Green,10954.67600000000000000000,8769.06700000000000000000
Green,10938.82500000000000000000,8755.00900000000000000000
Green,10940.37500000000000000000,8756.41000000000000000000
Green,10928.29700000000000000000,8745.86700000000000000000
Green,10945.40500000000000000000,8740.74000000000000000000
Green,10938.92500000000000000000,8757.36500000000000000000
Green,10934.54900000000000000000,8700.08700000000000000000
Green,10939.23500000000000000000,8758.64300000000000000000
Green,10934.95200000000000000000,8739.85600000000000000000
Green,10939.88600000000000000000,8756.15500000000000000000
Green,10935.06300000000000000000,8764.62300000000000000000
Green,10938.81500000000000000000,8754.15800000000000000000
Green,10956.56500000000000000000,8736.33600000000000000000
Green,10940.63800000000000000000,8754.45600000000000000000
Green,10962.64900000000000000000,8710.86200000000000000000
Green,10935.56100000000000000000,8757.12700000000000000000
Green,10963.53800000000000000000,8721.81700000000000000000
Green,10941.28700000000000000000,8750.32100000000000000000
Green,10933.48400000000000000000,8735.94800000000000000000
Green,10939.08500000000000000000,8757.15100000000000000000
Green,10952.61800000000000000000,8738.43900000000000000000
Green,10938.93600000000000000000,8754.85900000000000000000
Green,10944.74700000000000000000,8711.40700000000000000000
Green,10948.14100000000000000000,8738.33900000000000000000
Green,10940.09700000000000000000,8754.72900000000000000000
Green,10959.41200000000000000000,8714.14300000000000000000
Green,10937.26600000000000000000,8755.10700000000000000000
Green,10938.97500000000000000000,8701.22500000000000000000
Green,10937.56100000000000000000,8754.34100000000000000000
Green,10947.63500000000000000000,8710.88000000000000000000
Green,10941.02600000000000000000,8756.95700000000000000000
Green,10938.44300000000000000000,8756.00200000000000000000
Green,10963.23000000000000000000,8736.68800000000000000000
Green,10940.18400000000000000000,8755.35300000000000000000
Green,10939.52500000000000000000,8756.76600000000000000000
Green,10937.37700000000000000000,8741.64700000000000000000
Green,10938.52800000000000000000,8755.72400000000000000000
Green,10964.39800000000000000000,8711.56800000000000000000
Green,10960.93500000000000000000,8702.93200000000000000000
Green,10947.26600000000000000000,8753.26000000000000000000
Green,10941.79100000000000000000,8702.95500000000000000000
Green,10938.69500000000000000000,8758.60400000000000000000
Green,10961.06600000000000000000,8744.24000000000000000000
Green,10959.75700000000000000000,8699.23800000000000000000
Green,10962.28700000000000000000,8705.14400000000000000000
Green,10947.35100000000000000000,8702.12900000000000000000
Green,10962.00200000000000000000,8704.68700000000000000000
Green,10953.83800000000000000000,8719.94200000000000000000
Green,10963.85400000000000000000,8702.32900000000000000000
Green,10967.38200000000000000000,8706.40200000000000000000
Green,10959.18300000000000000000,8704.23100000000000000000
Green,10943.66400000000000000000,8707.64900000000000000000
Green,10941.70300000000000000000,8752.50800000000000000000
Green,10951.35200000000000000000,8707.40500000000000000000
Green,10936.34600000000000000000,8755.84400000000000000000
