Hole Number,Round,Total Distance,Actual Side,Trajectory Sequence,Trajectory X Coordinate,Trajectory Y Coordinate,Trajectory Z Coordinate,X Coordinate of Impact,Y Coordinate of Impact,Z Coordinate of Impact
5,1,10381,24.23200035095215000000,1,9985.65625000000000000000,12984.72070312500000000000,136.49800109863280000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,2,10028.69335937500000000000,12968.08398437500000000000,146.92500305175780000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,3,10068.96191406250000000000,12952.13281250000000000000,156.99699401855470000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,4,10106.71972656250000000000,12936.81640625000000000000,166.65600585937500000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,5,10142.20117187500000000000,12922.08593750000000000000,175.85000610351562000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,6,10175.61425781250000000000,12907.89843750000000000000,184.53199768066406000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,7,10207.15039062500000000000,12894.20996093750000000000,192.66400146484375000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,8,10236.98046875000000000000,12880.98535156250000000000,200.20899963378906000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,9,10265.25683593750000000000,12868.18554687500000000000,207.13699340820312000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,10,10292.12011718750000000000,12855.78222656250000000000,213.42399597167970000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,11,10317.69140625000000000000,12843.74316406250000000000,219.04699707031250000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,12,10342.08105468750000000000,12832.03906250000000000000,223.99000549316406000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,13,10365.38867187500000000000,12820.64746093750000000000,228.23899841308594000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,14,10387.70312500000000000000,12809.54296875000000000000,231.78300476074220000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,15,10409.10058593750000000000,12798.70507812500000000000,234.61599731445312000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
