Round,Hole Number,Trajectory Sequence,X Coordinate of Impact,Y Coordinate of Impact,Z Coordinate of Impact,Trajectory X Coordinate,Trajectory Y Coordinate,Trajectory Z Coordinate
3,5,1,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,9974.54003906250000000000,12962.44921875000000000000,135.42300415039062000000
3,5,2,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10017.87109375000000000000,12946.95898437500000000000,146.86199951171875000000
3,5,3,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10058.36816406250000000000,12932.17578125000000000000,157.81799316406250000000
3,5,4,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10096.29492187500000000000,12918.04199218750000000000,168.25500488281250000000
3,5,5,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10131.89355468750000000000,12904.50585937500000000000,178.13999938964844000000
3,5,6,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10165.38378906250000000000,12891.51660156250000000000,187.44200134277344000000
3,5,7,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10196.96386718750000000000,12879.03125000000000000000,196.13499450683594000000
3,5,8,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10226.81152343750000000000,12867.00390625000000000000,204.19700622558594000000
3,5,9,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10255.09179687500000000000,12855.39746093750000000000,211.60600280761720000000
3,5,10,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10281.94824218750000000000,12844.17382812500000000000,218.34500122070312000000
3,5,11,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10307.51269531250000000000,12833.30078125000000000000,224.39799499511720000000
3,5,12,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10331.90527343750000000000,12822.74804687500000000000,229.75300598144530000000
3,5,13,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10355.22753906250000000000,12812.48730468750000000000,234.39900207519530000000
3,5,14,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10377.57812500000000000000,12802.49316406250000000000,238.32600402832030000000
3,5,15,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10399.04003906250000000000,12792.74121093750000000000,241.52799987792970000000
3,5,16,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10419.68945312500000000000,12783.21191406250000000000,243.99899291992188000000
3,5,17,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10439.59375000000000000000,12773.88574218750000000000,245.73500061035156000000
3,5,18,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10458.81542968750000000000,12764.74707031250000000000,246.73300170898438000000
3,5,19,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10477.40722656250000000000,12755.77929687500000000000,246.99200439453125000000
3,5,20,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10495.42089843750000000000,12746.96875000000000000000,246.51100158691406000000
3,5,21,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10512.90136718750000000000,12738.30468750000000000000,245.29200744628906000000
3,5,22,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10529.88769531250000000000,12729.77734375000000000000,243.33399963378906000000
3,5,23,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10546.42089843750000000000,12721.37402343750000000000,240.63999938964844000000
3,5,24,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10562.53320312500000000000,12713.08886718750000000000,237.21299743652344000000
3,5,25,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10578.25781250000000000000,12704.91503906250000000000,233.05599975585938000000
3,5,26,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10593.62695312500000000000,12696.84570312500000000000,228.17100524902344000000
3,5,27,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10608.66796875000000000000,12688.87500000000000000000,222.56199645996094000000
3,5,28,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10623.41015625000000000000,12680.99804687500000000000,216.23399353027344000000
3,5,29,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10637.87988281250000000000,12673.21093750000000000000,209.18899536132812000000
3,5,30,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10652.10253906250000000000,12665.50878906250000000000,201.43099975585938000000
3,5,31,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10666.10644531250000000000,12657.88769531250000000000,192.96400451660156000000
