Id,Tour,Tour Description,Year,Tournament Sequence Number,Tournament Permanent Number,Tournament Name,Player Number,Player First Name,Player Last Name,Round,Hole Number,Hole Sequence Number,Shot Sequence Number,Club Head Speed,Ball Speed,Smash Factor,Vertical Launch Angle,Horizontal Launch Angle,Valid Launch Spin,Launch Spin,Valid Apex,Apex Range,Apex Side,Apex Height,Valid Actual,Actual Flight Time,Actual Landing Angle,Actual Landing Speed,Actual Range,Actual Side,Actual Height,Valid Flat,Flat Flight Time,Flat Landing Angle,Flat Landing Speed,Flat Range,Flat Side,X Coordinate of Impact,Y Coordinate of Impact,Z Coordinate of Impact,Distance of Impact,Course Number,Course Name,Valid Calculated Drive,Valid Stored Drive,Club,Total Distance,Ending Location Code,Ending Location Description,Weather,Trajectory Sequence,Trajectory X Coordinate,Trajectory Y Coordinate,Trajectory Z Coordinate,Trajectory Time,Extrapolated,Last Updated
1,R,PGA TOUR,2018,10,464,Safeway Open,1249,John,Daly,1,5,14,1,112.22899627685547000000,168.81700134277344000000,1.50399994850158700000,11.70199966430664000000,-2.71300005912780760000,Y,2422,Y,543.05603027343750000000,4.42600011825561500000,102.38200378417969000000,Y,5461.02001953125000000000,-37.54299926757812500000,60.17900085449219000000,723.05603027343750000000,24.23200035095215000000,68.62300109863281000000,Y,6970.00000000000000000000,-37.54299926757812500000,73.07499694824219000000,838.85797119140620000000,41.38100051879883000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000,168.81700134277344000000,552,Silverado Resort and Spa North,Y,Y,CDR,10381,ORO,Primary Rough, Light,1,9985.65625000000000000000,12984.72070312500000000000,136.49800109863280000000,12:05:35,N,2018-10-25 15:00:34.537
2,R,PGA TOUR,2018,10,464,Safeway Open,1249,John,Daly,1,5,14,1,112.22899627685547000000,168.81700134277344000000,1.50399994850158700000,11.70199966430664000000,-2.71300005912780760000,Y,2422,Y,543.05603027343750000000,4.42600011825561500000,102.38200378417969000000,Y,5461.02001953125000000000,-37.54299926757812500000,60.17900085449219000000,723.05603027343750000000,24.23200035095215000000,68.62300109863281000000,Y,6970.00000000000000000000,-37.54299926757812500000,73.07499694824219000000,838.85797119140620000000,41.38100051879883000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000,168.81700134277344000000,552,Silverado Resort and Spa North,Y,Y,CDR,10381,ORO,Primary Rough, Light,2,10028.69335937500000000000,12968.08398437500000000000,146.92500305175780000000,12:05:35,N,2018-10-25 15:00:34.537
3,R,PGA TOUR,2018,10,464,Safeway Open,1249,John,Daly,1,5,14,1,112.22899627685547000000,168.81700134277344000000,1.50399994850158700000,11.70199966430664000000,-2.71300005912780760000,Y,2422,Y,543.05603027343750000000,4.42600011825561500000,102.38200378417969000000,Y,5461.02001953125000000000,-37.54299926757812500000,60.17900085449219000000,723.05603027343750000000,24.23200035095215000000,68.62300109863281000000,Y,6970.00000000000000000000,-37.54299926757812500000,73.07499694824219000000,838.85797119140620000000,41.38100051879883000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000,168.81700134277344000000,552,Silverado Resort and Spa North,Y,Y,CDR,10381,ORO,Primary Rough, Light,3,10068.96191406250000000000,12952.13281250000000000000,156.99699401855470000000,12:05:35,N,2018-10-25 15:00:34.537
4,R,PGA TOUR,2018,10,464,Safeway Open,1249,John,Daly,1,5,14,1,112.22899627685547000000,168.81700134277344000000,1.50399994850158700000,11.70199966430664000000,-2.71300005912780760000,Y,2422,Y,543.05603027343750000000,4.42600011825561500000,102.38200378417969000000,Y,5461.02001953125000000000,-37.54299926757812500000,60.17900085449219000000,723.05603027343750000000,24.23200035095215000000,68.62300109863281000000,Y,6970.00000000000000000000,-37.54299926757812500000,73.07499694824219000000,838.85797119140620000000,41.38100051879883000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000,168.81700134277344000000,552,Silverado Resort and Spa North,Y,Y,CDR,10381,ORO,Primary Rough, Light,4,10106.71972656250000000000,12936.81640625000000000000,166.65600585937500000000,12:05:35,N,2018-10-25 15:00:34.537
5,R,PGA TOUR,2018,10,464,Safeway Open,1249,John,Daly,1,5,14,1,112.22899627685547000000,168.81700134277344000000,1.50399994850158700000,11.70199966430664000000,-2.71300005912780760000,Y,2422,Y,543.05603027343750000000,4.42600011825561500000,102.38200378417969000000,Y,5461.02001953125000000000,-37.54299926757812500000,60.17900085449219000000,723.05603027343750000000,24.23200035095215000000,68.62300109863281000000,Y,6970.00000000000000000000,-37.54299926757812500000,73.07499694824219000000,838.85797119140620000000,41.38100051879883000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000,168.81700134277344000000,552,Silverado Resort and Spa North,Y,Y,CDR,10381,ORO,Primary Rough, Light,5,10142.20117187500000000000,12922.08593750000000000000,175.85000610351562000000,12:05:35,N,2018-10-25 15:00:34.537
6,R,PGA TOUR,2018,10,464,Safeway Open,1249,John,Daly,1,5,14,1,112.22899627685547000000,168.81700134277344000000,1.50399994850158700000,11.70199966430664000000,-2.71300005912780760000,Y,2422,Y,543.05603027343750000000,4.42600011825561500000,102.38200378417969000000,Y,5461.02001953125000000000,-37.54299926757812500000,60.17900085449219000000,723.05603027343750000000,24.23200035095215000000,68.62300109863281000000,Y,6970.00000000000000000000,-37.54299926757812500000,73.07499694824219000000,838.85797119140620000000,41.38100051879883000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000,168.81700134277344000000,552,Silverado Resort and Spa North,Y,Y,CDR,10381,ORO,Primary Rough, Light,6,10175.61425781250000000000,12907.89843750000000000000,184.53199768066406000000,12:05:36,N,2018-10-25 15:00:34.537
7,R,PGA TOUR,2018,10,464,Safeway Open,1249,John,Daly,1,5,14,1,112.22899627685547000000,168.81700134277344000000,1.50399994850158700000,11.70199966430664000000,-2.71300005912780760000,Y,2422,Y,543.05603027343750000000,4.42600011825561500000,102.38200378417969000000,Y,5461.02001953125000000000,-37.54299926757812500000,60.17900085449219000000,723.05603027343750000000,24.23200035095215000000,68.62300109863281000000,Y,6970.00000000000000000000,-37.54299926757812500000,73.07499694824219000000,838.85797119140620000000,41.38100051879883000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000,168.81700134277344000000,552,Silverado Resort and Spa North,Y,Y,CDR,10381,ORO,Primary Rough, Light,7,10207.15039062500000000000,12894.20996093750000000000,192.66400146484375000000,12:05:36,N,2018-10-25 15:00:34.537
8,R,PGA TOUR,2018,10,464,Safeway Open,1249,John,Daly,1,5,14,1,112.22899627685547000000,168.81700134277344000000,1.50399994850158700000,11.70199966430664000000,-2.71300005912780760000,Y,2422,Y,543.05603027343750000000,4.42600011825561500000,102.38200378417969000000,Y,5461.02001953125000000000,-37.54299926757812500000,60.17900085449219000000,723.05603027343750000000,24.23200035095215000000,68.62300109863281000000,Y,6970.00000000000000000000,-37.54299926757812500000,73.07499694824219000000,838.85797119140620000000,41.38100051879883000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000,168.81700134277344000000,552,Silverado Resort and Spa North,Y,Y,CDR,10381,ORO,Primary Rough, Light,8,10236.98046875000000000000,12880.98535156250000000000,200.20899963378906000000,12:05:36,N,2018-10-25 15:00:34.537
9,R,PGA TOUR,2018,10,464,Safeway Open,1249,John,Daly,1,5,14,1,112.22899627685547000000,168.81700134277344000000,1.50399994850158700000,11.70199966430664000000,-2.71300005912780760000,Y,2422,Y,543.05603027343750000000,4.42600011825561500000,102.38200378417969000000,Y,5461.02001953125000000000,-37.54299926757812500000,60.17900085449219000000,723.05603027343750000000,24.23200035095215000000,68.62300109863281000000,Y,6970.00000000000000000000,-37.54299926757812500000,73.07499694824219000000,838.85797119140620000000,41.38100051879883000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000,168.81700134277344000000,552,Silverado Resort and Spa North,Y,Y,CDR,10381,ORO,Primary Rough, Light,9,10265.25683593750000000000,12868.18554687500000000000,207.13699340820312000000,12:05:36,N,2018-10-25 15:00:34.537
10,R,PGA TOUR,2018,10,464,Safeway Open,1249,John,Daly,1,5,14,1,112.22899627685547000000,168.81700134277344000000,1.50399994850158700000,11.70199966430664000000,-2.71300005912780760000,Y,2422,Y,543.05603027343750000000,4.42600011825561500000,102.38200378417969000000,Y,5461.02001953125000000000,-37.54299926757812500000,60.17900085449219000000,723.05603027343750000000,24.23200035095215000000,68.62300109863281000000,Y,6970.00000000000000000000,-37.54299926757812500000,73.07499694824219000000,838.85797119140620000000,41.38100051879883000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000,168.81700134277344000000,552,Silverado Resort and Spa North,Y,Y,CDR,10381,ORO,Primary Rough, Light,10,10292.12011718750000000000,12855.78222656250000000000,213.42399597167970000000,12:05:36,N,2018-10-25 15:00:34.537
